date1,datetime,cash_type,card,money,coffee_name
April,April  7:45:17 PM,card,ANON-0000-0000-0111,38.7,Latte
April,April  7:45:17 PM,card,ANON-0000-0000-0112,38.7,Cappuccino
April,April  7:29:17 PM,card,ANON-0000-0000-0012,38.7,Cappuccino
April,April  7:29:17 PM,cash,,40,Latte
April,April  8:34:17 PM,card,ANON-0000-0000-0113,38.7,Cappuccino
April,April  8:34:17 PM,cash,,30,Cortado
April,April  8:34:17 PM,cash,,30,Cortado
April,April  8:34:17 PM,cash,,35,Americano with Milk
April,April  7:29:17 PM,card,ANON-0000-0000-0114,28.9,Cortado
April,April  7:29:17 PM,card,ANON-0000-0000-0012,28.9,Americano
April,April  3:39:48 PM,card,ANON-0000-0000-0012,28.9,Americano
April,April  4:19:03 PM,card,ANON-0000-0000-0012,28.9,Americano
April,April  6:39:04 PM,card,ANON-0000-0000-0017,38.7,Cappuccino
April,April  7:22:02 PM,card,ANON-0000-0000-0012,28.9,Cortado
April,April  7:23:16 PM,card,ANON-0000-0000-0019,38.7,Latte
April,April  7:29:17 PM,card,ANON-0000-0000-0115,38.7,Cappuccino
April,April  7:45:17 PM,card,ANON-0000-0000-0064,28.9,Americano
April,April  7:45:17 PM,card,ANON-0000-0000-0003,28.9,Americano
April,April  7:45:17 PM,card,ANON-0000-0000-0004,33.8,Americano with Milk
April,April  7:45:17 PM,card,ANON-0000-0000-0009,33.8,Americano with Milk
April,April  7:29:17 PM,cash,,25,Espresso
April,April  7:29:17 PM,cash,,35,Americano with Milk
April,April  8:34:17 PM,card,ANON-0000-0000-0116,33.8,Americano with Milk
April,April  8:34:17 PM,card,ANON-0000-0000-0117,38.7,Cocoa
April,April  8:34:17 PM,card,ANON-0000-0000-0064,28.9,Cortado
April,April  8:34:17 PM,card,ANON-0000-0000-0118,28.9,Americano
April,April  7:29:17 PM,card,ANON-0000-0000-0024,33.8,Americano with Milk
April,April  7:29:17 PM,card,ANON-0000-0000-0009,38.7,Cappuccino
April,April  7:22:02 PM,card,ANON-0000-0000-0050,38.7,Cocoa
April,April  7:23:16 PM,card,ANON-0000-0000-0012,28.9,Americano
April,April  7:29:17 PM,card,ANON-0000-0000-0119,24,Espresso
April,April  7:45:17 PM,cash,,40,Cappuccino
